SKU;SKU Descr(L)
820003;Menara Eifel Sht BKF Plain 1x15Kg Ctn
820008;Palmvita Sht BKF Plain 1x15Kg Ctn
820062;Palmvita Sht White Fat Plain 1x15Kg Ctn
820064;Pusaka Sht White BKF 1x15Kg Ctn
820070;Goodfry Sht DFF 1x15Kg Ctn
820170;Shortening Trial 15Kg
820191;Hor Farn Sht SU (CW) 1X15Kg Ctn
820270;Mitra Sht BKF Plain 1x15Kg Ctn
820643;Goodfry Shortening DFF (E) 1X15Kg Ctn
820659;Goodfry Sht SLFO 1x18Kg Tin
820740;Red Rose Sht Blu (E-CW) NSG 1X15Kg Ctn
820773;Flagship Sht AJ E36-39 1X15Kg Ctn
820778;Golden Bake Sht BOS 1X18Kg Pal
820788;Palm Oil Frying SHT 1x20Kg Ctn
820801;Menara Shortening 48 (E) 1X15Kg Ctn
820803;Menara Sht Red 39-42 (E) 1X15Kg Ctn
820806;Menara Eifel Sht 45 (E) 1X15Kg Ctn
820808;Filma Sht Puff Pastry 6x2Kg Ctn
820816;Menara Eifel Sht 36-39 (E) 1X15Kg Ctn
820867;Smart Baker Shortening (JW) 1X15Kg Ctn
820881;Smart Baker Sht WI (JW) 1X15Kg Ctn
820981;Superdough Shortening 1X15Kg Ctn
821007;UNNO Palm Shortening 15 KG (E)
821009;Golden Bake Vegetable Fat 15 kg (E)
821048;Palmvita SHT 38-41 (E) ADC 1x20KG CTN
821053;Red Rose SHT (E) 1x20KG CTN
821064;Filma Sht BOS (0715) 1x18Kg Pail
821067;Red Rose SHT Grn (E) (D) 0815 1X15Kg Ctn
821072;Palmvita Sht 36-39 (E) 1X20Kg Ctn
821073;Flagship SHT BOS 37-39 (E) 1X10Kg Ctn
821074;Flagship SHT BOS 39-41 (E) 1X10Kg Ctn
821076;Palmvita Gold SHT BOS (0915) 1x18Kg PAL
821077;Beta Brand BOS SHT 37-39(0915)1x18KG PAL
821079;Hor Farn SHT BOS (CW) SU-0915 1X16KG CTN
821082;Boss SHT BOS (0915) 1X18Kg PAL
821083;Palmvita Gold SHT BOS(E) MYR2 1x18KG PAL
821086;Flagship SHT B 39-41 (CW) 1X20Kg CTN
821087;Red Rose Sht Blu (E-CW) CLT 1X15Kg Ctn
821092;Palmvita SHT Deep Frying Fat 1x15Kg CTN
821104;RBDPO for Nestle 1x900Kg Paper IBC
821105;Menara RBDPO 1X900Kg Paper IBC
821106;Red Rose SHT BCF (E-SLW) 1X15Kg Ctn
821116;Palmvita SHT BKF TCAP (1215) 1x15kg Ctn
821118;Red Rose SHT BLU (E-EW) CNE 1X15Kg Ctn
821133;Filma Sht Biscuit Fat Toco 1X15Kg Ctn
821134;Filma Sht Biscuit Fat 1X15Kg Ctn
821162;Filma Goodfry Sht DFF 1x15Kg Ctn
821163;Filma Goodfry Sht SLFO 1x18Kg Tin
821165;Filma BCF SHT 1116 1x15Kg Ctn
821169;Palmvita SHT DFF (1116) 1x15Kg CTN
821170;Palmvita SHT BOS (1116) 1x18Kg PAL
821171;Filma Pusaka SHT Wht BKF 1x15Kg Ctn
821181;Palmvita SHT BKF (1116) Sby 1x15Kg Ctn
821182;Palmvita SHT WF (1116) Sby 1x15Kg Ctn
821196;Red Rose SHT Grn (E) SHG 1X15Kg Ctn
821198;Menara SHT BKF Classic 1x15Kg CTN
821201;Red SHT Double Peach 38-41 1X15Kg Ctn
821202;Silver SHT Double Peach44-48 1X15Kg Ctn
821203;Silver BOS Double Peach 39-41 1X10Kg Ctn
821208;Menara SHT BKF Special SBY 1x15Kg CTN
821213;Master Chef SHT 1X15Kg Ctn
821219;Palmvita SHT Red 39-42(E)MRI 1X15Kg Ctn
821220;Palmvita SHT Red 39-42(E)UBF 1X15Kg Ctn
821234;K B SHT 1x15KG CTN
821241;Palmvita SHT BOS (E) KWH 1x18KG PAL
821271;Beta Brand BOS SHT 37-39 1X15 KG CTN
821299;Red Rose Shortening BRW (E) 1X15KG CTN
821304;Palmvita SHT 39-42 (E) KND 1X20Kg CTN
821350;Menara Eifel SHT 45 (E) 1X20Kg CTN
821360;Flagship SHT (E) SHG 1X16Kg CTN
821361;Master Chef SHT 1X16Kg CTN
821362;Filma Shortening 48-52 LGE (E) 1X16KgCTN
821363;Filma SHT 42-45 LGE RSPO MB (E)16Kg Ctn
821380;Red Rose Shortening Blue (E) 15kg
821382;Bo Chuang Shortening 1x20 Kg CTN
821389;K B Shortening (1219) 1x15KG CTN
821399;Menara SHT 39-42 (E) VEG 1X10Kg
821404;Filma SHT BOS 48-52  (E) WS 1x16KG Ctn
821405;Filma BOS 42-45 (E) YS 1X16KG CTN
821411;Palm Wax 53 Shortening 1X20KG CTN
821412;Filma SHT BOS 48-52 (E) YS 1X16Kg Ctn
821413;Filma SHT 42-45 (E) 1X16Kg CTN
821414;Filma SHT BOS 42-45 (E) 1X16Kg CTN
821416;Menara SHT BKF Spc SBY (0420) 1x15Kg CTN
821422;Filma Shortening 48-52 WO (E) 1X16Kg CTN
821423;Flagship SHT B 39-41 (E ) 1X20Kg CTN
821425;Red Rose Sht Blu (E) 1x15kg CTN
821426;Palm Oil Frying SHT LGE RSPOSG 1x20KgCTN
821436;Palmvita Sht BKF TCAP (0620) 1x15Kg Ctn
821438;PALMVITA SHT BKF (0620) 1X15KG CTN
821441;PALMVITA SHT WHITE FAT (0620) 1X15KG CTN
821449;K B Shortening (0720) 1x15KG CTN
821458;RED ROSE BCF SHT (E) (0920) 1X15KG CTN
821467;MENARA EIFEL SHT 45 (E) (1020)1X15KG CTN
821468;GOLDEN BAKE SHT VF(1020)1X15KG CTN
821475;PALMVITA SHT36-39LGE (E)(1120)1X20KG CTN
821486;Golden Bake SHT BOS (1220) 1x18Kg Pal
821500;Bo Chuang Shortening (0121) 1x20Kg CTN
822507;Superdough Shortening (0321) 15Kg Ctn
822514;Flagship SHT A (E) 20kg Ctn
822515;Filma SHT48-52LGE RSPOMB(E)(0321)16KgCtn
822520;Palm Wax 53 SHT (0421) 20Kg Ctn
822527;Menara Eifel SHT 45 (E) (0421) 20Kg Ctn
822545;Red Rose SHT Grn (E) (0521) SHG 15Kg Ctn
822546;Flagship SHT B 39-41 (E )(0521) 1X20Kg CTN
822547;Red Rose SHT Blu (E)(0521)15Kg Ctn
822558;Palmvita SHT BKF Toco RSPOMB SKL15Kg Ctn
822565;K B SHT (0921)15Kg Ctn
822579;Palm Oil Frying SHT LGE RSPOSG 1x20KgCTN
822581;Palm Wax 53 SHT (1221) 20Kg Ctn
822584;Flagship SHT AF (E) 20kg Ctn
822602;Flagship SHT (E)(0122) SHG 16Kg Ctn
822623;Yimai SHT Blu 15Kg Ctn
830001;Delicio SF Coating Fat 1x15Kg Ctn
830009;Delicio SF Toffee Fat 1x15Kg Ctn
830259;i-soc CBS 35 20 kg
830317;Liquid Coating Fat (LCF)3  1MT Steel IBC
PALLET;PALLET SMART
