Material;Material Description; Weight(Kg) ;Principal
800757;Kunci Mas Cooking Oil 6x2L Pch;11.56; SMART 
801391;Kunci Mas Cooking Oil 6x2L Pch;11.56; SMART 
830317;Liquid Coating Fat (LFC) 3 1MT Steel IBC;1148.50;SMART
800720;Masku CO 12x900 Ml Btl;10.58;SMART
800839;Masku Cooking Oil 12x1L Pch;11.58; SMART 
801384;Masku Cooking Oil 12x1L Pch;11.58; SMART 
800570;Masku Cooking Oil 1x18L Bib;17.03; SMART 
800721;Masku Cooking Oil 24x485Ml Btl;11.49; SMART 
800602;Masku Cooking Oil 4x5L Jrc;19.40; SMART 
801387;Masku Cooking Oil 4x5L Jrc;19.40; SMART 
800817;Masku Cooking Oil 6x2L Pch;11.56; SMART 
801380;Masku Cooking Oil SNI 6x2L Pch;11.56; SMART 
810723;Masku MGRN Krim 1x15 Kg;15.00;SMART
820788;Mc Donald's Sht Palm Oil DFF 1x20 Kg;20.77;SMART
810002;Menara Eifel Margarine 1x15Kg Ctn;15.00; SMART 
810006;Menara Eifel Margarine 1x5Kg Ctn;5.00;SMART
810403;Menara Eifel Margarine Krim 1x15Kg Ctn;15.00; SMART 
810534;Menara Eifel Margarine Krim 1x5Kg Ctn;5.00;SMART
810748;Menara Eifel MGRN (1115) 1x15kg Ctn;15.57;SMART
810752;Menara Eifel MGRN Krim 1x15Kg Ctn;15.57;SMART
810722;Menara Eifel MGRN Krim 1x15Kg Ctn;15.00; SMART 
820001;Menara Eifel Sht BKF 1x15Kg Ctn;15.00;SMART
820003;Menara Eifel Sht BKF Plain 1x15Kg Ctn;15.00; SMART 
810823;Menara MGRN (1116) 1x15 Kg Ctn;15.50;SMART
810822;Menara MGRN Krim (1116) 1X15 Kg Ctn;15.50; SMART 
821198;Menara SHT BKF Classic 1 x15 Kg CTN;15.52; SMART 
821208;Menara SHT BKF Spesial SBY 1x15 CTN GBJ;15.52; SMART 
801310;Minyak Olein SM 56 CO 1x18L BIB;16.26; SMART 
801158;Mitra Classic CO ( E ) 1x18 L Jrc;16.26;SMART
800987;Mitra CO 6X2 L Pch;11.54; SMART 
801398;Mitra CO 6X2 L Pch;11.54; SMART 
800048;Mitra Cooking Oil 12x1L Pch;11.53; SMART 
801396;Mitra Cooking Oil 12x1L Pch;11.53; SMART 
800451;Mitra Cooking Oil 12x950 Ml Btl;10.30;SMART
800052;Mitra Cooking Oil 4x5L Jrc;19.38; SMART 
810402;Mitra Margarine Krim 1x15Kg Ctn;15.00;SMART
810535;Mitra Margarine Krim 1x5Kg Ctn;5.00;SMART
810751;Mitra MGRN Krim (1115) 1x15 kg Ctn;15.00;SMART
810720;Mitra MGRN Krim 1x15 Kg;15.00;SMART
810746;Mitra MGRN SPC (1115) 1x15 kg;15.00;SMART
820270;Mitra Sht BKF Plain 1x15Kg Ctn;15.00; SMART 
821264;P 297000 SHT 1x15KG CTN;15.00;SMART
810815;Palmboom Cake MGRN 1X15KG CTN;15.49; SMART 
810713;Palmboom Cake MGRN 1X15KG CTN;15.00; SMART 
810828;Palmboom Cake MGRN 1X5KG CTN;5.28; SMART 
810020;Palmboom Margarine 1x15Kg Ctn;15.59; SMART 
810816;Palmboom Margarine 1x15Kg Ctn;15.49; SMART 
810023;Palmboom Margarine 1x5Kg Ctn;5.28; SMART 
810022;Palmboom Margarine TF 24x250G Tub;7.13; SMART 
810024;Palmboom Margarine TF 24x500G Tub;13.75; SMART 
821076;Palmvita Gold SHT BOS (0915) 1x18Kg PAL;18.00; SMART 
820016;Palmvita Gold Sht BOS 1x18kg Pail;18.00; SMART 
810032;Palmvita Margarine 1x15kg Ctn;15.00; SMART 
810820;Palmvita MGRN ( 1116 ) 1X15 kg;15.57;SMART
810745;Palmvita MGRN 1X15 kg;15.00;SMART
821181;Palmvita SHT BKF (1116) Sby 1x15 Kg Ctn;15.52;SMART
820008;Palmvita Sht BKF Plain 1x15Kg Ctn;15.62; SMART 
821116;Palmvita SHT BKF TCAP (1215) 1x15 Kg Ctn GBJ;15.52; SMART 
821170;Palmvita SHT BOS (1116) 1x18Kg PAL;19.19; SMART 
821279;Palmvita Sht BOS Plain 1x15Kg Ctn;15.62; SMART 
821092;Palmvita SHT Deep Frying Fat 1x15Kg CTN;15.55; SMART 
821169;Palmvita SHT DFF (1116) 1x15Kg CTN;15.52;SMART
821182;Palmvita SHT WF (1116) Sby 1x15 Kg Ctn;15.60;SMART
820062;Palmvita Sht White Fat Plain 1x15Kg Ctn;15.00; SMART 
810770;Paloma MGRN (1215) 1x15kg Ctn;15.00;SMART
820009;Paloma Sht Baker's Fat 1x15 Kg Ctn;15.00;SMART
820063;Paloma Sht White Fat 1x15 Kg Ctn;15.00;SMART
820064;Pusaka Sht White BKF 1x15Kg Ctn;15.58; SMART 
801524;Filma CO 6x2L Pch;11.54;Branded
801522;Filma CO 6x5L Jrc;18.07;Branded
801521;Filma CO SNI 12x1L BTL;11.49;Branded
801523;Filma CO SNI 6x2L Btl;10.84;Branded
801381;Filma Cooking Oil SNI 6x2L Pch;11.54;Branded
810917;Filma MGRN TF Salted (0420) 60X200G SCH;13.11;Branded
810921;Filma MGRN TF Salted (0520)24X250G TUB;7.11;Branded
801502;Kunci Mas CO SNI (0520) 24x450 ml PCH;10.74;Branded
801501;Kunci Mas CO SNI (0520) 48x200mL PCH;9.72;Branded
801490;Kunci Mas CO SNI (0520) 6x1.9L BTL;11.18;Branded
801500;Kunci Mas CO SNI (0520)12x900Ml Pch;10.42;Branded
801379;Kunci Mas Cooking Oil 6x1.9L Btl;11.18;Branded
801494;Kunci Mas Cooking Oil SNI (0520) 24x485Ml Btl;10.52;Branded
801505;Kunci Mas Cooking Oil SNI (0520)6x2L PCH;11.56;Branded
801382;Kunci Mas Cooking Oil SNI 12x950Ml Btl;11.12;Branded
801491;Kunci Mas Cooking Oil SNI 4x5L Jrc;19.41;Branded
801393;Masku CO 12x900 Ml Btl;10.58;Branded
801499;Masku CO SNI (0520) 12x900ML BTL;11.12;Branded
800772;Masku Cooking Oil 6X2L Jrc;11.56;Branded
801493;Masku Cooking Oil SNI (0520) 4x5L Jrc;19.4;Branded
801504;Masku Cooking Oil SNI (0520) 6x2L Pch;11.56;Branded
801503;Masku Cooking Oil SNI 12x1L Pch;11.58;Branded
801395;Masku Cooking Oil SNI 24x485Ml Btl;11.49;Branded
801498;Mitra CO (0520) 6X2 L Pch;11.54;Branded
801496;Mitra Cooking Oil SNI (0520) 12x1L Pch;11.53;Branded
801492;Mitra Cooking Oil SNI (0520) 4x5L Jrc;19.38;Branded
